,Year,Sex,Fatal Y/N,Country,Type
205,2023,m,n,USA,UNPROVOKED
207,2023,m,n,CORAL SEA,WATERCRAFT
208,2023,m,n,USA,UNPROVOKED
209,2023,f,n,USA,UNPROVOKED
212,2023,m,n,USA,WATERCRAFT
214,2023,m,n,SPAIN,UNPROVOKED
215,2023,m,n,PORTUGAL,PROVOKED
216,2023,m,y,SAMOA,UNPROVOKED
217,2023,f,n,USA,UNPROVOKED
218,2023,m,n,USA,UNPROVOKED
219,2023,m,n,USA,UNPROVOKED
220,2023,f,n,USA,UNPROVOKED
221,2023,m,n,AUSTRALIA,UNPROVOKED
222,2023,m,n,AUSTRALIA,UNPROVOKED
223,2023,m,n,USA,UNPROVOKED
224,2023,m,n,COLOMBIA,UNPROVOKED
225,2023,m,n,USA,UNPROVOKED
226,2023,m,n,USA,UNPROVOKED
228,2023,f,n,ECUADOR,UNPROVOKED
229,2023,f,n,USA,UNPROVOKED
230,2023,m,n,USA,UNPROVOKED
231,2023,m,n,USA,UNPROVOKED
232,2023,m,n,USA,UNPROVOKED
233,2023,f,n,USA,UNPROVOKED
234,2023,f,n,USA,UNPROVOKED
235,2023,m,n,USA,UNPROVOKED
236,2023,m,n,USA,UNPROVOKED
237,2023,m,y,EGYPT,UNPROVOKED
239,2023,f,n,FRENCH POLYNESIA,UNPROVOKED
240,2023,m,y,NEW CALEDONIA,UNPROVOKED
241,2023,f,n,TURKS AND CAICOS,UNPROVOKED
242,2023,m,y,BAHAMAS,QUESTIONABLE
243,2023,f,n,USA,PROVOKED
244,2023,f,n,USA,UNPROVOKED
245,2023,m,n,USA,PROVOKED
246,2023,m,n,USA,UNPROVOKED
247,2023,f,n,USA,UNPROVOKED
248,2023,m,y,AUSTRALIA,UNPROVOKED
249,2023,f,n,USA,UNPROVOKED
250,2023,m,n,USA,PROVOKED
251,2023,m,y,CUBA,PROVOKED
252,2023,m,n,USA,UNPROVOKED
253,2023,m,n,SOUTH AFRICA,UNPROVOKED
254,2023,m,n,SOUTH AFRICA,UNPROVOKED
255,2023,m,n,AUSTRALIA,UNPROVOKED
256,2023,m,n,AUSTRALIA,UNPROVOKED
257,2023,m,n,USA,UNPROVOKED
258,2023,m,n,AUSTRALIA,UNPROVOKED
259,2023,f,n,USA,UNPROVOKED
260,2023,m,n,USA,WATERCRAFT
261,2023,m,n,USA,UNPROVOKED
262,2023,m,n,USA,UNPROVOKED
263,2023,m,n,CUBA,PROVOKED
264,2023,m,n,AUSTRALIA,UNPROVOKED
265,2023,m,n,USA,UNPROVOKED
266,2023,m,n,MEXICO,QUESTIONABLE
267,2023,f,n,AUSTRALIA,UNPROVOKED
268,2023,f,n,BRAZIL,UNPROVOKED
269,2023,m,n,BRAZIL,UNPROVOKED
271,2023,m,n,BRAZIL,UNPROVOKED
273,2023,m,n,USA,UNPROVOKED
275,2023,m,n,FIJI,QUESTIONABLE
276,2023,f,y,AUSTRALIA,UNPROVOKED
277,2023,m,n,AUSTRALIA,UNPROVOKED
278,2023,m,n,NEW CALEDONIA,UNPROVOKED
279,2023,m,n,USA,UNPROVOKED
280,2023,m,y,MEXICO,UNPROVOKED
281,2023,m,n,USA,PROVOKED
282,2023,f,n,MALDIVES,PROVOKED
283,2022,m,n,SOUTH AFRICA,PROVOKED
284,2022,m,n,USA,UNPROVOKED
285,2022,m,n,AUSTRALIA,UNPROVOKED
